cell_id,model,familiarity,genus,family,genus_p50,family_p50,order_p50,strict_violation,compression_ratio,ioc_compression_ratio,compression_exceeds_ioc,gap_ratio,ioc_gap_ratio,hierarchy_collapse,mean_crps_relative,within_1sd,signed_error_relative,classification
corvus_corvidae,claude-haiku-4-5,well_known,Corvus,Corvidae,45.0,130.0,6500.0,False,0.34615384615384615,0.36231884057971014,False,0.6538461538461539,0.6376811594202898,False,0.018396650906732356,True,-0.06538266330975777,coherent_and_right
corvus_corvidae,claude-opus-4-8,well_known,Corvus,Corvidae,46.0,133.0,6500.0,False,0.3458646616541353,0.36231884057971014,False,0.6541353383458647,0.6376811594202898,False,0.01389052588236808,True,-0.0514696198314969,coherent_and_right
corvus_corvidae,claude-sonnet-4-6,well_known,Corvus,Corvidae,45.0,140.0,6500.0,False,0.32142857142857145,0.36231884057971014,False,0.6785714285714286,0.6376811594202898,False,0.013958321717113231,True,-0.041228073937777096,coherent_and_right
corvus_corvidae,gpt-4o,well_known,Corvus,Corvidae,45.0,130.0,6000.0,False,0.34615384615384615,0.36231884057971014,False,0.6538461538461539,0.6376811594202898,False,0.023738583340600916,False,-0.09004479214471879,coherent_but_wrong
corvus_corvidae,gpt-4o-mini,well_known,Corvus,Corvidae,45.0,40.0,6000.0,True,1.125,0.36231884057971014,True,-0.125,0.6376811594202898,True,0.1318113678355324,False,-0.3074360964925449,incoherent
nucifraga_corvidae,claude-haiku-4-5,obscure,Nucifraga,Corvidae,3.0,130.0,6500.0,False,0.023076923076923078,0.028985507246376812,False,0.9769230769230769,0.9710144927536232,False,0.02917442868451013,True,-0.11538266330975777,coherent_and_right
nucifraga_corvidae,claude-opus-4-8,obscure,Nucifraga,Corvidae,3.0,133.0,6500.0,False,0.022556390977443608,0.028985507246376812,False,0.9774436090225563,0.9710144927536232,False,0.026668303660145855,True,-0.10813628649816358,coherent_and_right
nucifraga_corvidae,claude-sonnet-4-6,obscure,Nucifraga,Corvidae,3.0,140.0,6500.0,False,0.02142857142857143,0.028985507246376812,False,0.9785714285714285,0.9710144927536232,False,0.022847210606002116,True,-0.0912280739377771,coherent_and_right
nucifraga_corvidae,gpt-4o,obscure,Nucifraga,Corvidae,3.0,130.0,6000.0,False,0.023076923076923078,0.028985507246376812,False,0.9769230769230769,0.9710144927536232,False,0.03540525000726758,False,-0.1400447921447188,coherent_but_wrong
nucifraga_corvidae,gpt-4o-mini,obscure,Nucifraga,Corvidae,3.0,40.0,6000.0,False,0.075,0.028985507246376812,False,0.925,0.9710144927536232,False,0.1434780345021991,False,-0.35743609649254493,coherent_but_wrong
archilochus_trochilidae,claude-haiku-4-5,well_known,Archilochus,Trochilidae,3.0,360.0,470.0,False,0.008333333333333333,0.00546448087431694,False,0.9916666666666667,0.994535519125683,False,0.045017694146578156,False,0.15562338523446967,coherent_but_wrong
archilochus_trochilidae,claude-opus-4-8,well_known,Archilochus,Trochilidae,2.0,360.0,480.0,False,0.005555555555555556,0.00546448087431694,False,0.9944444444444445,0.994535519125683,False,0.010005131683573277,True,-0.004069780734846926,coherent_and_right
archilochus_trochilidae,claude-sonnet-4-6,well_known,Archilochus,Trochilidae,2.0,360.0,530.0,False,0.005555555555555556,0.00546448087431694,False,0.9944444444444445,0.994535519125683,False,0.01156534132046856,True,0.030797722751903425,coherent_and_right
archilochus_trochilidae,gpt-4o,well_known,Archilochus,Trochilidae,2.0,360.0,450.0,False,0.005555555555555556,0.00546448087431694,False,0.9944444444444445,0.994535519125683,False,0.013543960999204843,True,-0.024990282826897137,coherent_and_right
archilochus_trochilidae,gpt-4o-mini,well_known,Archilochus,Trochilidae,5.0,350.0,120.0,True,0.014285714285714285,0.00546448087431694,False,0.9857142857142858,0.994535519125683,False,0.3300344483313136,False,0.23577672603668898,incoherent
